Site,Trap,Date,Date_cal,Round,Genus,Species,Sex,correction_10g,Unadjusted_weight,Mass_g,Elytra_length_mm
PANG 108,6,15-09-2017,258,4,Nicrophorus,defodiens,F,0.9757,0.074,0.076,6.23
MASS 3,6,07-08-2017,219,3,Nicrophorus,defodiens,F,0.9818,0.092,0.094,7.4
MASS 117,0,05-07-2017,186,2,Nicrophorus,defodiens,F,0.9773,0.132,0.135,6.82
PANG 108,6,25-05-2016,146,na,Nicrophorus,defodiens,F,1.0009,0.189,0.189,7.8
PANG 108,0,20-06-2017,171,2,Nicrophorus,defodiens,F,0.9838,0.195,0.198,8.06
MOOR 46,0,12-06-2017,163,2,Nicrophorus,defodiens,F,0.98,0.206,0.21,8.01
MASS 3,0,07-08-2017,219,3,Nicrophorus,defodiens,F,0.9765,0.226,0.231,7.91
PANG 108,0,20-06-2017,171,2,Nicrophorus,defodiens,M,0.9838,0.094,0.096,6.38
North Bracken,0,21-08-2018,233,na,Nicrophorus,defodiens,M,1.0009,0.118,0.118,7.11
PANG 41,0,10-07-2017,191,2,Nicrophorus,defodiens,M,0.985,0.143,0.145,7.33
MASS 111,6,09-08-2017,221,3,Nicrophorus,defodiens,M,0.9754,0.157,0.161,7.1
CAPE 55,6,17-08-2017,229,3,Nicrophorus,defodiens,M,0.9779,0.179,0.183,7.29
MOOR 43,0,06-10-2017,279,4,Nicrophorus,defodiens,M,0.9739,0.179,0.184,7.81
MASS 15,0,16-09-2017,259,4,Nicrophorus,defodiens,M,0.9772,0.21,0.215,7.42
PANG 108,0,20-06-2017,171,2,Nicrophorus,defodiens,M,0.9838,0.212,0.215,8.19
PANG 114,0,20-06-2017,171,2,Nicrophorus,defodiens,M,0.9753,0.214,0.219,7.76
MASS 200,0,04-07-2017,185,2,Nicrophorus,hebes,F,0.9799,0.11,0.112,6.05
MASS 141,0,23-06-2017,174,2,Nicrophorus,hebes,F,0.9801,0.118,0.12,7.19
HUGH 73,0,12-06-2017,163,2,Nicrophorus,hebes,F,0.9799,0.126,0.129,7.11
BOST 16,0,21-10-2017,294,4,Nicrophorus,hebes,F,0.9724,0.145,0.149,7.54
HUGH 73,0,12-06-2017,163,2,Nicrophorus,hebes,F,0.9799,0.174,0.178,8.01
CAPE 56,0,15-06-2017,166,2,Nicrophorus,hebes,F,0.9771,0.175,0.179,7.4
HUGH 73,0,12-06-2017,163,2,Nicrophorus,hebes,F,0.9799,0.18,0.184,8.21
HUGH 73,0,12-06-2017,163,2,Nicrophorus,hebes,F,0.9799,0.18,0.184,7.87
MASS 200,0,04-07-2017,185,2,Nicrophorus,hebes,F,0.9799,0.182,0.186,7.86
HUGH 73,0,12-06-2017,163,2,Nicrophorus,hebes,F,0.9799,0.183,0.187,7.75
CAPE 51,6,17-08-2017,229,3,Nicrophorus,hebes,F,0.9766,0.183,0.187,7.43
HUGH 73,0,12-06-2017,163,2,Nicrophorus,hebes,F,0.9799,0.184,0.188,7.95
HUGH 73,0,12-06-2017,163,2,Nicrophorus,hebes,F,0.9799,0.197,0.201,7.74
HUGH 68,0,22-06-2017,173,2,Nicrophorus,hebes,F,0.9742,0.218,0.224,7.87
