strain,cfp,yfp
m22,2438.3457909640715,1408.9831196105008
m22,2315.8229571320207,1391.3416183607903
m22,2521.4330062284107,1510.7041689243995
m22,2646.2059836412823,1460.4627202196796
m22,2830.0955783818013,1637.7017926733918
m22,2566.5765996963805,1572.0704013614334
m22,2636.142212858768,1450.410773764336
m22,2644.090293856045,1335.34148039857
m22,2896.818343486961,1689.3497413405373
m22,2452.7841024759477,1435.6089122892936
m22,2596.543083198685,1489.1654780867575
m22,2832.163621484304,1661.158186221467
m22,2581.248927867611,1605.3661851965505
m22,2489.792425986961,1481.1890314330399
m22,2618.7484545588427,1425.503082553243
m22,2487.6033530764785,1490.8660278547131
m22,2478.2498241446465,1574.0386107959548
m22,2347.1393510667167,1280.0738362701684
m22,2434.2831670290043,1427.3115860196374
m22,2683.196184752517,1479.1515352862345
m22,2263.370188429305,1514.6237024686
m22,2662.848891141026,1535.7237648449593
m22,2500.501303686131,1284.4915091101702
m22,2615.861605917563,1630.6691333911817
m22,2355.3488960687587,1353.75729593387
m22,2542.8292028770998,1479.4585357100418
m22,2637.1090193328478,1538.8143026718035
m22,2508.264294829699,1410.9104979604376
m22,2474.294858106222,1441.442497428921
m22,2468.4024647251185,1406.0143748220914
m22,2798.0840064305357,1451.3183133904904
m22,2845.6533541384306,1402.9129693723685
m22,2516.5866431068953,1347.2031895178059
m22,2452.970395724049,1272.5890126820993
m22,2796.0660577194153,1496.172414482899
m22,2501.476252299616,1136.886713627248
m22,2733.2282677716576,1391.2293003581385
m22,2521.769221230907,1336.0625897614684
m22,2398.737702577685,1208.243965678461
m22,2731.7388835904394,1460.8564658360294
m22,2442.6863015265285,1159.352310417262
m22,2714.431050628345,1396.6009736946476
m22,2932.990810395277,1479.0513391685854
m22,2708.2489455949662,1342.2278423295336
m22,2661.5791666610994,1328.6663813169173
m22,2597.035540017217,1332.6927929791534
m22,2283.659228611057,1174.7099768635471
m22,2550.6575209213834,1252.239295843363
m22,2683.1956926128346,1402.6807739633925
m22,2437.9673725890907,1283.2131569951546
m22,2682.588912953812,1432.7034142525479
m22,2674.306445639467,1405.7423894413662
m22,2693.1152963360378,1532.9812891351178
m22,2555.115730591177,1333.6010990549933
m22,2757.43700772922,1631.9095447172929
m22,2879.530525016991,1663.00975256353
m22,2565.1774465562803,1604.2949974646042
m22,2625.921584848464,1322.440037406077
m22,2598.6833949252605,1403.1914438605445
m22,2912.9227663781453,1582.0813686093445
m22,2734.255640333044,1569.382736812637
m22,2594.363102342981,1607.7152550342066
m22,2837.9883108443555,1568.2926648338973
m22,2868.8978478495296,1555.1790957465385
m22,2796.354462528943,1535.0442089205387
m22,2579.538092759287,1388.3027350205884
m22,2272.2734973545607,1515.0464714160835
m22,2533.6806416036784,1462.599962994805
m22,2766.0212600206482,1428.824037444503
m22,2572.7649455420296,1449.1868722268232
m22,2531.343479349833,1421.525697622411
m22,2868.965589146596,1469.2541859567314
m22,2281.9566146090106,1317.2323921346094
m22,2372.1225667160425,1223.4412170047492
m22,2771.6242519112957,1533.630177755694
m22,2799.5762840131233,1412.9828131867255
m22,2683.9127228657544,1440.717562467745
m22,2733.209401023405,1433.3662140052447
m22,2808.322232005918,1294.3152169165367
m22,2576.1853080349474,1377.743185283253
m22,2555.7793356875422,1266.2577232690862
m22,2774.7257160900817,1420.8773288860557
m22,2765.7104436320333,1475.8927062743146
m22,2453.4728077979858,1273.3677973194106
m22,2685.7591168153976,1444.6114999229583
m22,2742.30160189728,1421.5696764129086
m22,2674.130128809289,1446.0734707673862
m22,2688.2233492477467,1431.4295558425956
m22,2539.3490130916325,1299.3598332904671
m22,2436.918130269356,1295.473131959164
m22,2693.9223633014262,1438.8449115572323
m22,2947.4204369890003,1485.8470200262527
m22,2340.03703008822,1308.2734613425062
m22,2415.567122720853,1338.6653309696935
m22,2502.2667525592865,1357.639146050139
m22,2466.648485357237,1442.7116028627358
m22,2401.6096592729114,1319.184208701575
m22,2614.931548966396,1443.4566335906616
m22,2271.8189170223504,1237.3084378502767
m22,2413.8821680750466,1209.7196031398335
m22,2802.376799361509,1515.3931516747525
m22,2528.2209226364794,1498.0417092341454
m22,2166.577868450628,1284.65136040664
m22,2833.8182481556,1498.5163103492148
m22,2426.932532772024,1267.5860881195026
m22,2646.815425668536,1415.0001087672947
m22,2592.7628377920096,1280.177715355037
m22,2275.957539897031,1342.5773052506254
m22,2676.334230940419,1589.5195501259436
m22,2399.790786029735,1440.2571513169435
m22,2297.8025924336903,1325.5454319165422
m22,2443.0221543730536,1386.9262032294919
m22,2306.281448980984,1279.0694344776061
m22,2369.123488765597,1283.5425013856086
m22,2432.283919411704,1220.8774487777655
m22,2332.5121986427657,1284.2770254280047
m22,2522.55001976715,1322.2072183791845
m22,2538.25830014923,1423.4132496648856
m22,2667.156969737315,1422.3545370122372
m22,2859.4922624031524,1349.8731526625909
m22,2877.6839343072747,1558.8787591450964
m22,2697.1134887605263,1497.0062355014045
m22,2651.4954885122906,1393.6321992535507
m22,2523.4153473866377,1431.628340706318
m22,2470.4227557900267,1530.6618635980883
m22,2572.656146063025,1244.3593136612387
m22,2544.407269449612,1395.0397335924524
m22,2653.489659339849,1610.5267039060434
m22,2620.298563078498,1428.3765159567874
m22,2672.7442407587187,1366.4368411426994
m22,2597.6753036604136,1487.9803291855346
m22,2631.8970097010238,1560.0358015935947
m22,2731.836249173988,1463.1858976483786
m22,2662.9917744496834,1402.076403786224
m22,2213.224266662512,1436.6839579858372
m22,2475.064375734435,1320.0383347768636
m22,2717.693109640856,1449.1102588559836
m22,2348.2330111941346,1296.956714389025
m22,2766.9375854981604,1343.9582355452196
m22,2883.1917424980847,1494.6934835758718
m22,2443.0414426203993,1227.4431916566955
m22,2296.3939141741234,1252.156878040449
m22,2640.5494830471553,1468.502925104295
m22,2859.6081680010716,1508.850630763985
m22,2780.058003002796,1464.2525309754583
m22,2881.534318728375,1482.0219527429858
m22,2298.697785901625,1392.289425642323
m22,2714.096242149389,1425.6879772305624
m22,2743.186304347177,1652.8833418305624
m22,2873.203812738433,1506.7782746792664
m22,2499.305059843288,1290.8081177352988
m22,2521.5786345049664,1497.8173811926886
m22,2553.206073816654,1436.6683915896447
m22,2350.8584784118325,1189.1612434378474
m22,2712.710069774178,1414.4917688269352
m22,2565.7785793377843,1308.694209889714
m22,2786.281651434086,1655.017850971424
m22,2435.313656152614,1368.1194768328776
m22,2378.0049217834408,1189.4779062665905
m22,2515.0323126347084,1431.1494159736724
m22,2654.945886014153,1338.073092529018
m22,2527.7917208005947,1450.101801677408
m22,2545.397590602942,1227.2093993056212
m22,2587.5924679795653,1327.117267783163
m22,2537.5961299482638,1378.845486111111
m22,2770.9607923062035,1592.2232630533135
m22,2903.239851788039,1535.6843142377927
m22,2720.0315552251736,1412.6947482954395
m22,2819.3014445912236,1554.74555129153
m22,2618.504653252602,1443.2253938707308
